# iz z min  max  N  mean sigma skew kurt sum sum  robust[N mean sig med]
84 114431491680.000000  -0.008430 0.007699 68658  -0.000012 0.002121 0.005760 0.080727  -0.842855 0.070653   68073 -0.000021 0.002046 -0.000014
85 114438281527.500000  -0.008233 0.007349 68659  -0.000029 0.002135 -0.009901 -0.002803  -1.970154 0.165149   68155 -0.000028 0.002071 -0.000007
86 114445071375.000000  -0.007658 0.009531 68658  -0.000005 0.002099 -0.061324 0.008098  -0.315016 0.026406   68123 0.000008 0.002033 0.000027
87 114451861222.500000  -0.009378 0.008856 68659  0.000013 0.002070 -0.038357 0.158128  0.919983 -0.077118   68046 0.000016 0.001992 0.000040
88 114458651070.000000  -0.008237 0.008419 68657  0.000009 0.002139 -0.015266 -0.032242  0.595108 -0.049885   68249 0.000012 0.002085 0.000021
89 114465440917.500000  -0.008332 0.007325 68654  -0.000010 0.002093 -0.049774 0.010553  -0.654695 0.054880   68117 0.000001 0.002027 -0.000011
90 114472230765.000000  -0.007885 0.007394 68654  -0.000008 0.002025 0.019763 -0.071920  -0.538515 0.045141   68237 -0.000008 0.001975 -0.000025
91 114479020612.500000  -0.007561 0.007103 68654  0.000015 0.002032 0.014003 0.006320  1.018594 -0.085384   68079 0.000017 0.001966 -0.000011
92 114485810460.000000  -0.007677 0.008403 68656  -0.000011 0.002076 0.022593 0.069238  -0.783766 0.065699   68082 -0.000006 0.002003 -0.000047
93 114492600307.500000  -0.007299 0.007920 68655  0.000021 0.002055 0.061546 -0.164743  1.476068 -0.123732   68368 0.000008 0.002019 0.000023
94 114499390155.000000  -0.009195 0.006944 68655  0.000011 0.002115 -0.033360 -0.119931  0.779084 -0.065307   68341 0.000025 0.002073 -0.000001
95 114506180002.500000  -0.007086 0.008297 68655  -0.000004 0.002128 0.083571 -0.006111  -0.308026 0.025820   68173 -0.000022 0.002066 -0.000029
96 114512969850.000000  -0.006783 0.007215 68657  -0.000036 0.002074 0.010704 -0.131328  -2.449713 0.205348   68308 -0.000042 0.002033 -0.000036
97 114519759697.500000  -0.008803 0.007321 68657  0.000013 0.002116 0.004325 -0.027344  0.907354 -0.076059   68171 0.000013 0.002057 0.000005
98 114526549545.000000  -0.007148 0.009295 68657  -0.000014 0.002123 0.105801 0.001738  -0.930536 0.078002   68166 -0.000035 0.002062 -0.000042
99 114533339392.500000  -0.008765 0.008487 68661  -0.000011 0.002112 -0.103890 0.257265  -0.754124 0.063215   67795 0.000008 0.002002 0.000043
100 114540129240.000000  -0.008522 0.008197 68662  -0.000030 0.002070 0.063225 0.038521  -2.077417 0.174140   68124 -0.000045 0.002003 -0.000036
101 114546919087.500000  -0.007755 0.007856 68668  0.000026 0.002223 -0.009273 -0.010404  1.777604 -0.149008   68118 0.000027 0.002154 0.000049
102 114553708935.000000  -0.008433 0.008369 68667  -0.000008 0.002285 0.016076 0.030467  -0.573311 0.048058   68138 -0.000011 0.002214 -0.000005
103 114560498782.500000  -0.007215 0.007636 68664  0.000002 0.002134 -0.028305 -0.100268  0.128276 -0.010753   68248 -0.000006 0.002084 0.000049
104 114567288630.000000  -0.008764 0.008194 68664  -0.000012 0.002172 0.024503 -0.074655  -0.837750 0.070225   68302 -0.000013 0.002124 -0.000041
105 114574078477.500000  -0.009073 0.009132 68662  -0.000021 0.002246 0.010365 0.002376  -1.457817 0.122202   68191 -0.000021 0.002179 -0.000018
106 114580868325.000000  -0.007591 0.009308 68667  0.000023 0.002082 0.064808 0.115412  1.590505 -0.133325   68092 0.000016 0.002008 0.000003
107 114587658172.500000  -0.008924 0.008705 68665  0.000003 0.002127 -0.047088 -0.000791  0.180103 -0.015097   68242 0.000014 0.002071 -0.000000
108 114594448020.000000  -0.008073 0.007768 68662  0.000011 0.002122 -0.142187 0.060036  0.779315 -0.065326   68082 0.000032 0.002046 0.000076
109 114601237867.500000  -0.008444 0.007177 68664  -0.000020 0.002094 -0.015111 -0.014339  -1.344527 0.112705   68200 -0.000015 0.002035 -0.000039
110 114608027715.000000  -0.007327 0.007695 68665  0.000012 0.002158 -0.007722 -0.061453  0.857151 -0.071851   68192 0.000011 0.002099 0.000037
111 114614817562.500000  -0.007462 0.008494 68663  0.000001 0.002157 0.037594 -0.184185  0.096309 -0.008073   68399 -0.000004 0.002122 -0.000007
112 114621607410.000000  -0.008271 0.008222 68661  -0.000011 0.002092 -0.022730 0.069173  -0.752458 0.063075   68104 -0.000004 0.002020 -0.000006
113 114628397257.500000  -0.007735 0.008772 68661  0.000012 0.002112 0.113836 -0.095139  0.798188 -0.066908   68278 -0.000001 0.002062 -0.000046
114 114635187105.000000  -0.009018 0.008860 68659  0.000011 0.002136 -0.009027 -0.040441  0.774254 -0.064902   68218 0.000014 0.002078 0.000010
115 114641976952.500000  -0.008675 0.007571 68656  0.000012 0.002194 -0.126531 0.062120  0.824403 -0.069106   68035 0.000034 0.002112 0.000058
116 114648766800.000000  -0.009498 0.008385 68657  0.000001 0.002146 -0.027026 -0.053633  0.078257 -0.006560   68285 0.000009 0.002094 0.000005
117 114655556647.500000  -0.010867 0.007962 68657  -0.000011 0.002141 -0.102531 0.232138  -0.775188 0.064980   68068 0.000007 0.002058 0.000007
118 114662346495.000000  -0.008102 0.008056 68656  0.000039 0.002112 -0.044289 -0.033894  2.657598 -0.222774   68217 0.000045 0.002056 0.000044
119 114669136342.500000  -0.008988 0.007827 68656  -0.000008 0.002183 0.016780 0.032474  -0.536611 0.044982   68144 -0.000009 0.002116 -0.000019
120 114675926190.000000  -0.008504 0.008479 68658  -0.000019 0.002216 -0.043044 -0.162459  -1.319031 0.110568   68367 -0.000020 0.002175 0.000024
121 114682716037.500000  -0.009065 0.007253 68660  -0.000035 0.002112 -0.073639 -0.019533  -2.425962 0.203357   68200 -0.000023 0.002054 0.000021
122 114689505885.000000  -0.008659 0.008813 68659  -0.000032 0.002195 0.055027 -0.085099  -2.210674 0.185310   68291 -0.000036 0.002144 -0.000078
123 114696295732.500000  -0.008489 0.008597 68659  -0.000013 0.002133 -0.027869 0.040541  -0.911384 0.076397   68117 -0.000008 0.002064 0.000004
124 114703085580.000000  -0.008434 0.009073 68657  -0.000053 0.002172 -0.017359 0.028046  -3.660328 0.306828   68124 -0.000045 0.002103 -0.000034
125 114709875427.500000  -0.008102 0.007085 68656  -0.000001 0.002141 0.002747 -0.164222  -0.063586 0.005330   68372 0.000007 0.002105 -0.000027
126 114716665275.000000  -0.007820 0.008551 68653  0.000011 0.002230 0.007290 -0.140033  0.744827 -0.062435   68333 0.000008 0.002188 0.000011
127 114723455122.500000  -0.007848 0.008466 68657  -0.000005 0.002161 -0.045875 0.046801  -0.354241 0.029694   68105 -0.000001 0.002089 0.000013
128 114730244970.000000  -0.007884 0.010288 68657  -0.000021 0.002121 -0.044139 0.028078  -1.460144 0.122397   68211 -0.000011 0.002062 0.000002
129 114737034817.500000  -0.008234 0.007231 68660  -0.000024 0.002139 -0.007309 -0.145056  -1.637038 0.137225   68322 -0.000026 0.002097 -0.000036
130 114743824665.000000  -0.009929 0.009253 68660  -0.000019 0.002197 -0.046806 0.260873  -1.271724 0.106603   67922 -0.000007 0.002095 -0.000013
131 114750614512.500000  -0.009243 0.008589 68660  -0.000026 0.002281 0.019642 -0.045356  -1.763753 0.147847   68209 -0.000031 0.002218 -0.000031
132 114757404360.000000  -0.009943 0.008313 68659  -0.000011 0.002238 0.022557 -0.042748  -0.783556 0.065682   68274 -0.000011 0.002184 -0.000035
133 114764194207.500000  -0.007722 0.008479 68660  -0.000013 0.002227 0.031227 -0.108739  -0.862568 0.072305   68275 -0.000018 0.002180 -0.000033
134 114770984055.000000  -0.009877 0.008195 68660  -0.000029 0.002235 0.012077 0.003520  -2.024453 0.169700   68196 -0.000024 0.002172 -0.000068
135 114777773902.500000  -0.009022 0.010119 68660  0.000004 0.002266 0.086338 0.102141  0.264769 -0.022194   68178 -0.000010 0.002192 -0.000047
136 114784563750.000000  -0.008751 0.007952 68659  -0.000009 0.002348 -0.003434 0.057099  -0.589192 0.049389   68073 0.000001 0.002268 -0.000011
137 114791353597.500000  -0.007833 0.009640 68658  0.000027 0.002295 -0.001155 -0.136352  1.828587 -0.153282   68351 0.000016 0.002251 0.000047
138 114798143445.000000  -0.007734 0.009022 68659  0.000029 0.002179 0.110030 -0.101725  1.989895 -0.166804   68299 0.000015 0.002132 -0.000010
139 114804933292.500000  -0.008282 0.008091 68656  -0.000012 0.002264 0.071467 -0.096840  -0.830940 0.069654   68275 -0.000011 0.002213 -0.000073
140 114811723140.000000  -0.008949 0.008381 68655  -0.000044 0.002338 -0.024838 0.055809  -3.008273 0.252169   68054 -0.000043 0.002254 -0.000017
141 114818512987.500000  -0.008096 0.008926 68652  0.000041 0.002218 0.111319 -0.180818  2.806349 -0.235243   68352 0.000026 0.002178 -0.000007
142 114825302835.000000  -0.008842 0.007832 68652  -0.000008 0.002241 -0.024610 -0.133690  -0.576532 0.048328   68310 -0.000004 0.002194 -0.000007
143 114832092682.500000  -0.007651 0.007403 68657  -0.000040 0.002150 -0.096870 -0.088987  -2.752526 0.230731   68231 -0.000023 0.002099 0.000020
144 114838882530.000000  -0.010555 0.008779 68653  -0.000025 0.002177 -0.123568 0.125181  -1.725748 0.144661   68101 -0.000009 0.002100 0.000030
145 114845672377.500000  -0.008604 0.009196 68654  0.000038 0.002298 -0.000585 0.105781  2.588987 -0.217023   68031 0.000031 0.002213 0.000047
146 114852462225.000000  -0.008923 0.009641 68671  0.000028 0.002235 -0.012948 0.040224  1.900491 -0.159309   68179 0.000036 0.002166 0.000028
147 114859252072.500000  -0.008386 0.009355 68641  0.000018 0.002308 0.101521 -0.032312  1.211272 -0.101535   68168 0.000003 0.002242 -0.000037
148 114866041920.000000  -0.007668 0.008807 68655  0.000007 0.002195 0.057160 0.053257  0.471747 -0.039544   68119 -0.000013 0.002123 0.000010
149 114872831767.500000  -0.009310 0.009320 68655  -0.000035 0.002244 -0.011223 0.143208  -2.382544 0.199717   68051 -0.000033 0.002158 -0.000032
150 114879621615.000000  -0.007584 0.009730 68656  -0.000003 0.002280 0.062141 -0.126833  -0.218701 0.018333   68341 -0.000006 0.002239 -0.000004
151 114886411462.500000  -0.007568 0.008249 68660  -0.000034 0.002282 -0.038074 -0.080184  -2.358659 0.197715   68260 -0.000036 0.002230 0.000017
152 114893201310.000000  -0.007931 0.008662 68661  -0.000026 0.002279 0.040385 -0.058373  -1.802343 0.151082   68233 -0.000035 0.002222 -0.000026
153 114899991157.500000  -0.008289 0.008565 68657  0.000002 0.002272 0.041433 -0.066964  0.128376 -0.010761   68219 -0.000005 0.002215 -0.000039
154 114906781005.000000  -0.008345 0.008558 68656  0.000012 0.002283 -0.033791 0.044422  0.809002 -0.067815   68065 0.000024 0.002203 -0.000002
155 114913570852.500000  -0.010178 0.009434 68652  0.000008 0.002391 0.002292 0.264409  0.581648 -0.048757   67861 0.000007 0.002272 0.000009
156 114920360700.000000  -0.008273 0.009799 68658  0.000037 0.002269 -0.011890 0.036718  2.514367 -0.210767   68185 0.000036 0.002203 0.000041
157 114927150547.500000  -0.011773 0.009733 68655  -0.000011 0.002360 -0.079067 0.212862  -0.753641 0.063174   68083 -0.000004 0.002269 0.000041
158 114933940395.000000  -0.007690 0.010424 68655  0.000015 0.002241 0.037402 -0.022655  1.011458 -0.084786   68261 0.000009 0.002189 -0.000009
159 114940730242.500000  -0.009162 0.007664 68655  0.000003 0.002334 -0.013463 -0.171459  0.202035 -0.016936   68367 0.000011 0.002293 -0.000004
160 114947520090.000000  -0.007527 0.008570 68654  -0.000005 0.002354 0.038144 -0.224467  -0.331994 0.027829   68451 -0.000012 0.002325 -0.000016
161 114954309937.500000  -0.008917 0.008853 68655  0.000021 0.002355 -0.071904 -0.102597  1.448950 -0.121459   68274 0.000026 0.002301 0.000070
162 114961099785.000000  -0.008749 0.008754 68657  -0.000012 0.002341 -0.052395 -0.041403  -0.838348 0.070275   68193 0.000002 0.002278 0.000002
163 114967889632.500000  -0.008769 0.008152 68656  0.000012 0.002318 -0.045842 -0.062559  0.793182 -0.066489   68237 0.000016 0.002261 0.000047
164 114974679480.000000  -0.007936 0.011171 68655  -0.000019 0.002335 -0.027117 -0.176834  -1.308328 0.109671   68399 -0.000018 0.002298 0.000005
165 114981469327.500000  -0.008905 0.009953 68657  0.000011 0.002401 0.111779 0.091399  0.746407 -0.062568   68012 -0.000011 0.002310 -0.000029
166 114988259175.000000  -0.008171 0.008900 68657  -0.000014 0.002332 -0.016666 0.103362  -0.958467 0.080344   67972 -0.000011 0.002240 0.000007
