# iz z min  max  N  mean sigma skew kurt sum sum  robust[N mean sig med]
102 98249907630.000000  -0.003043 0.002957 76738  0.000000 0.000655 0.013366 -0.009077  0.034942 -0.002862   76248 0.000000 0.000637 -0.000004
103 98256541924.500000  -0.002753 0.002451 76739  0.000003 0.000606 0.002417 -0.044782  0.231859 -0.018990   76248 0.000003 0.000590 0.000004
104 98263176219.000000  -0.002677 0.002524 76743  0.000002 0.000623 0.006576 0.040523  0.159778 -0.013087   76133 0.000002 0.000603 -0.000000
105 98269810513.500000  -0.002845 0.002689 76743  -0.000002 0.000641 0.033963 0.053967  -0.186765 0.015297   76155 -0.000004 0.000620 -0.000007
106 98276444808.000000  -0.002664 0.002618 76744  -0.000002 0.000616 -0.032521 0.055590  -0.123569 0.010121   76095 0.000001 0.000595 0.000003
107 98283079102.500000  -0.002389 0.002640 76745  0.000001 0.000638 -0.001700 -0.008405  0.047398 -0.003882   76188 0.000000 0.000619 0.000002
108 98289713397.000000  -0.002664 0.002452 76744  0.000002 0.000609 -0.015749 -0.056007  0.130731 -0.010708   76283 0.000002 0.000594 0.000002
109 98296347691.500000  -0.002319 0.002748 76741  -0.000002 0.000611 0.004407 0.087911  -0.151692 0.012424   76047 -0.000003 0.000589 0.000001
110 98302981986.000000  -0.002991 0.002911 76739  0.000003 0.000640 -0.030374 0.015595  0.199380 -0.016330   76215 0.000005 0.000621 0.000006
111 98309616280.500000  -0.003050 0.002832 76744  0.000001 0.000625 0.020274 0.047316  0.095269 -0.007803   76184 0.000001 0.000605 -0.000000
112 98316250575.000000  -0.002757 0.003147 76741  0.000001 0.000626 0.036933 0.071708  0.091212 -0.007471   76165 -0.000001 0.000605 -0.000000
113 98322884869.500000  -0.002352 0.002405 76744  -0.000000 0.000606 0.013210 -0.019267  -0.021070 0.001726   76202 -0.000001 0.000588 -0.000000
114 98329519164.000000  -0.002849 0.002379 76751  0.000000 0.000621 0.005601 -0.034135  0.014623 -0.001198   76260 0.000001 0.000605 -0.000001
115 98336153458.500000  -0.002689 0.002573 76744  0.000000 0.000630 0.021349 0.043437  0.025149 -0.002060   76160 -0.000000 0.000610 -0.000004
116 98342787753.000000  -0.002775 0.002554 76746  -0.000002 0.000616 0.004929 -0.006290  -0.119943 0.009824   76209 -0.000002 0.000598 -0.000001
117 98349422047.500000  -0.002552 0.002675 76746  0.000001 0.000636 -0.004975 0.014657  0.077225 -0.006325   76168 0.000000 0.000616 0.000003
118 98356056342.000000  -0.002868 0.002420 76747  0.000000 0.000593 0.017245 0.003556  0.017005 -0.001393   76211 0.000000 0.000576 -0.000004
119 98362690636.500000  -0.002782 0.002752 76747  -0.000002 0.000628 0.018981 -0.045126  -0.171820 0.014073   76283 -0.000003 0.000612 -0.000007
120 98369324931.000000  -0.002714 0.002571 76747  0.000001 0.000623 -0.021258 -0.010471  0.108775 -0.008909   76168 0.000002 0.000604 0.000004
121 98375959225.500000  -0.002554 0.002708 76742  0.000005 0.000620 0.001791 0.047829  0.348649 -0.028556   76149 0.000004 0.000600 0.000004
122 98382593520.000000  -0.002662 0.002671 76737  0.000000 0.000624 0.013368 0.001367  0.037080 -0.003037   76242 0.000000 0.000607 -0.000000
123 98389227814.500000  -0.002908 0.002532 76742  0.000003 0.000621 -0.022609 0.018567  0.232816 -0.019069   76154 0.000004 0.000602 0.000005
124 98395862109.000000  -0.002475 0.002457 76741  0.000001 0.000650 -0.031853 -0.031326  0.076322 -0.006251   76222 0.000002 0.000632 0.000005
125 98402496403.500000  -0.002456 0.003090 76738  -0.000003 0.000614 0.009479 0.002324  -0.232438 0.019038   76227 -0.000004 0.000597 -0.000006
126 98409130698.000000  -0.002460 0.002415 76743  0.000000 0.000627 -0.011466 -0.028779  0.029902 -0.002449   76227 0.000001 0.000610 0.000002
